algo,target,alphabet,states,ours_queries,ours_time,learnlib_states,learnlib_queries,learnlib_time,agree
kv,ends_in_01,2,3,51,0.007,3,14,0.0,True
kv,mod3,2,3,54,0.007,3,14,0.0,True
kv,learnlib_tiny_dfa,2,3,46,0.003,3,11,0.0,True
kv,learnlib_keylock_small,2,3,39,0.003,3,7,0.0,True
kv,alternating,2,4,98,0.04,4,20,0.003,True
kv,learnlib_angluin,2,4,110,0.014,4,27,0.0,True
kv,random_n5_a2,2,4,122,0.005,4,29,0.0,True
kv,learnlib_paul_and_mary,2,5,314,0.022,5,68,0.0,True
kv,random_n5_a4,4,5,317,0.009,5,68,0.0,True
kv,random_n10_a2,2,7,537,0.022,7,93,0.0,True
kv,learnlib_keylock_large,2,8,664,0.035,8,113,0.001,True
kv,random_n20_a2,2,10,952,0.04,10,144,0.001,True
kv,random_n10_a4,4,10,1540,0.04,10,196,0.0,True
kv,random_n20_a4,4,19,6337,0.164,19,475,0.001,True
kv,random_n50_a2,2,41,21316,0.635,41,1390,0.003,True
kv,random_n50_a4,4,48,51190,1.33,48,1842,0.002,True
kv,random_n100_a2,2,85,101224,2.643,85,4067,0.005,True
kv,random_n100_a4,4,98,249741,6.363,98,4763,0.003,True
lstar,ends_in_01,2,3,181,0.011,3,14,0.0,True
lstar,mod3,2,3,179,0.011,3,18,0.0,True
lstar,learnlib_tiny_dfa,2,3,177,0.007,3,18,0.0,True
lstar,learnlib_keylock_small,2,3,73,0.003,3,8,0.001,True
lstar,alternating,2,4,402,0.071,4,33,0.003,True
lstar,learnlib_angluin,2,4,440,0.024,4,27,0.0,True
lstar,random_n5_a2,2,4,460,0.016,4,33,0.0,True
lstar,learnlib_paul_and_mary,2,5,1456,0.059,5,100,0.001,True
lstar,random_n5_a4,4,5,1940,0.05,5,132,0.0,True
lstar,random_n10_a2,2,7,3737,0.117,7,126,0.001,True
lstar,learnlib_keylock_large,2,8,4008,0.144,8,63,0.0,True
lstar,random_n20_a2,2,10,5798,0.155,10,174,0.001,True
lstar,random_n10_a4,4,10,14200,0.368,10,342,0.001,True
lstar,random_n20_a4,4,19,51493,1.343,19,712,0.001,True
lstar,random_n50_a2,2,41,164099,4.313,41,1111,0.003,True
lstar,random_n50_a4,4,48,323621,8.193,48,2250,0.002,True
lstar,random_n100_a2,2,85,671243,17.793,85,2613,0.003,True
lstar,random_n100_a4,4,98,2209413,55.85,98,6555,0.005,True
ttt,ends_in_01,2,3,56,0.008,3,16,0.0,True
ttt,mod3,2,3,59,0.009,3,14,0.0,True
ttt,learnlib_tiny_dfa,2,3,52,0.003,3,11,0.0,True
ttt,learnlib_keylock_small,2,3,44,0.003,3,6,0.0,True
ttt,alternating,2,4,108,0.042,4,17,0.006,True
ttt,learnlib_angluin,2,4,118,0.014,4,23,0.001,True
ttt,random_n5_a2,2,4,131,0.006,4,24,0.0,True
ttt,learnlib_paul_and_mary,2,5,328,0.023,5,67,0.002,True
ttt,random_n5_a4,4,5,329,0.01,5,69,0.0,True
ttt,random_n10_a2,2,7,565,0.024,7,68,0.001,True
ttt,learnlib_keylock_large,2,8,699,0.035,8,43,0.001,True
ttt,random_n20_a2,2,10,987,0.037,10,84,0.001,True
ttt,random_n10_a4,4,10,1575,0.042,10,160,0.001,True
ttt,random_n20_a4,4,19,6406,0.166,19,365,0.001,True
ttt,random_n50_a2,2,41,21512,0.635,41,579,0.007,True
ttt,random_n50_a4,4,48,51379,1.355,48,1203,0.004,True
ttt,random_n100_a2,2,85,101664,2.65,85,1441,0.012,True
ttt,random_n100_a4,4,98,250186,6.41,98,2913,0.006,True
