test_case,seconds
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleStack,0.065
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleRandomStateLocalInputMealy,6.309
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleGrid,0.699
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleStack,0.015
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleShahbazGroz,0.025
MooreOCamlLearningAlgorithm[ttt_moore-rocq]/ExampleRandomMoore,6.575
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleTinyMealy,0.012
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleShahbazGroz,0.010
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleRandomStateLocalInputMealy,1648.468
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleStack,0.027
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleCoffeeMachine,0.024
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleRandomMealy,6.479
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleRandomMealy,34.643
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleTinyMealy,0.012
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleGrid,0.594
MooreOCamlLearningAlgorithm[kv_moore-rocq]/ExampleRandomMoore,6.280
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleCoffeeMachine,0.146
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleRandomMealy,6.490
MooreOCamlLearningAlgorithm[lstar_moore-rocq]/ExampleRandomMoore,32.214
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleRandomStateLocalInputMealy,5.525
MealyOCamlLearningAlgorithm[kv_mealy-rocq]/ExampleCoffeeMachine,0.026
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleShahbazGroz,0.011
MealyOCamlLearningAlgorithm[lstar_mealy-rocq]/ExampleGrid,0.274
MealyOCamlLearningAlgorithm[ttt_mealy-rocq]/ExampleTinyMealy,0.008
